Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030458,Guildford 001B,E05007295,Lovelace,Guildford,,,,,,,,,,,,
E01030459,Guildford 001C,E05007295,Lovelace,Guildford,,,,,,,,,,,,
E01030475,Guildford 001D,E05007301,Send,Guildford,,,,,,,,,,,,
E01030476,Guildford 001E,E05007301,Send,Guildford,,,,,,,,,,,,
E01030477,Guildford 001F,E05007301,Send,Guildford,,,,,,,,,,,,
E01030465,Guildford 002A,E05007297,Normandy,Guildford,,,,,,,,,,,,
E01030466,Guildford 002B,E05007297,Normandy,Guildford,,,,,,,,,,,,
E01030473,Guildford 002C,E05007300,Pirbright,Guildford,,,,,,,,,,,,
E01030474,Guildford 002D,E05007300,Pirbright,Guildford,,,,,,,,,,,,
E01030441,Guildford 003A,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
E01030442,Guildford 003B,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
E01030443,Guildford 003C,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
E01030444,Guildford 003D,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
E01030445,Guildford 003E,E05007291,Clandon and Horsley,Guildford,,,,,,,,,,,,
E01030446,Guildford 003F,E05007292,Effingham,Guildford,,,,,,,,,,,,
E01030447,Guildford 003G,E05007292,Effingham,Guildford,,,,,,,,,,,,
E01030426,Guildford 004A,E05007287,Ash Vale,Guildford,,,,,,,,,,,,
E01030427,Guildford 004B,E05007287,Ash Vale,Guildford,,,,,,,,,,,,
E01030428,Guildford 004C,E05007287,Ash Vale,Guildford,,,,,,,,,,,,
E01030429,Guildford 004D,E05007287,Ash Vale,Guildford,,,,,,,,,,,,
E01030430,Guildford 004E,E05007288,Ash Wharf,Guildford,,,,,,,,,,,,
E01030499,Guildford 005A,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030500,Guildford 005B,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030501,Guildford 005C,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030502,Guildford 005D,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030503,Guildford 005E,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030504,Guildford 005F,E05007307,Worplesdon,Guildford,,,,,,,,,,,,
E01030485,Guildford 006A,E05007304,Stoughton,Guildford,,,,,,,,,,,,
E01030487,Guildford 006B,E05007304,Stoughton,Guildford,,,,,,,,,,,,
E01030488,Guildford 006C,E05007304,Stoughton,Guildford,,,,,,,,,,,,
E01030489,Guildford 006D,E05007304,Stoughton,Guildford,,,,,,,,,,,,
E01030481,Guildford 007A,E05007303,Stoke,Guildford,,,,,,,,,,,,
E01030482,Guildford 007B,E05007303,Stoke,Guildford,,,,,,,,,,,,
E01030483,Guildford 007C,E05007303,Stoke,Guildford,,,,,,,,,,,,
E01030484,Guildford 007D,E05007303,Stoke,Guildford,,,,,,,,,,,,
E01030434,Guildford 008A,E05007289,Burpham,Guildford,,,,,,,,,,,,
E01030435,Guildford 008B,E05007289,Burpham,Guildford,,,,,,,,,,,,
E01030462,Guildford 008C,E05007296,Merrow,Guildford,,,,,,,,,,,,
E01030463,Guildford 008D,E05007296,Merrow,Guildford,,,,,,,,,,,,
E01030464,Guildford 008E,E05007296,Merrow,Guildford,,,,,,,,,,,,
E01030486,Guildford 009A,E05007304,Stoughton,Guildford,,,,,,,,,,,,
